;SMI Index
;Last Price
Dates;PX_LAST
30.09.2015;8513.41
01.10.2015;8510.56
02.10.2015;8515.52
05.10.2015;8740.83
06.10.2015;8761.68
07.10.2015;8639.03
08.10.2015;8674.17
09.10.2015;8680.21
12.10.2015;8706.11
13.10.2015;8654.64
14.10.2015;8573.31
15.10.2015;8653.35
16.10.2015;8715.73
19.10.2015;8705.66
20.10.2015;8650.02
21.10.2015;8602.12
22.10.2015;8788.92
23.10.2015;8910.52
26.10.2015;8907.86
27.10.2015;8849.92
28.10.2015;8932.64
29.10.2015;8957.27
30.10.2015;8938.65
02.11.2015;8936.08
03.11.2015;8935.5
04.11.2015;8951.76
05.11.2015;8990.16
06.11.2015;8970.27
09.11.2015;8876.67
10.11.2015;8849.77
11.11.2015;8884.55
12.11.2015;8816.94
13.11.2015;8749.84
16.11.2015;8727.09
17.11.2015;8952.58
18.11.2015;8990.96
19.11.2015;9008.65
20.11.2015;9015.83
23.11.2015;8924.41
24.11.2015;8808.53
25.11.2015;8934.48
26.11.2015;8968.25
27.11.2015;9002.96
30.11.2015;8993.1
01.12.2015;8993.24
02.12.2015;9016.56
03.12.2015;8852.14
04.12.2015;8802.89
07.12.2015;8825.28
08.12.2015;8701.2
09.12.2015;8624.95
10.12.2015;8632.63
11.12.2015;8502.06
14.12.2015;8375.31
15.12.2015;8581.56
16.12.2015;8604.08
17.12.2015;8656.3
18.12.2015;8608.91
21.12.2015;8544.35
22.12.2015;8515.82
23.12.2015;8705.74
28.12.2015;8739.36
29.12.2015;8883.01
30.12.2015;8818.09
04.01.2016;8656.31
05.01.2016;8701.46
06.01.2016;8613.42
07.01.2016;8449.86
08.01.2016;8257.28
11.01.2016;8213.52
12.01.2016;8332.04
13.01.2016;8414.83
14.01.2016;8305.47
15.01.2016;8107.13
18.01.2016;8099.08
19.01.2016;8223.76
20.01.2016;7966.34
21.01.2016;8035.06
22.01.2016;8271.11
25.01.2016;8253.34
26.01.2016;8314.47
27.01.2016;8322.68
28.01.2016;8153.27
29.01.2016;8319.81
01.02.2016;8310.99
02.02.2016;8196.99
03.02.2016;8123.74
04.02.2016;8003.4
05.02.2016;7960.13
08.02.2016;7759.21
09.02.2016;7583.27
10.02.2016;7731.93
11.02.2016;7496.62
12.02.2016;7656.6
15.02.2016;7848.33
16.02.2016;7813.79
17.02.2016;7946.19
18.02.2016;7916.61
19.02.2016;7863.36
22.02.2016;7961.49
23.02.2016;7807.01
24.02.2016;7689.56
25.02.2016;7794.05
26.02.2016;7877.03
29.02.2016;7843.63
01.03.2016;7962.22
02.03.2016;8039.89
03.03.2016;7950.84
04.03.2016;7982.57
07.03.2016;8019.13
08.03.2016;7971.15
09.03.2016;7975.81
10.03.2016;7893.66
11.03.2016;7998.43
14.03.2016;8018.36
15.03.2016;7953.93
16.03.2016;7916.43
17.03.2016;7861.79
18.03.2016;7813.68
21.03.2016;7849.57
22.03.2016;7853.07
23.03.2016;7894.36
24.03.2016;7775.58
29.03.2016;7797.65
30.03.2016;7845.08
31.03.2016;7807.89
01.04.2016;7688.34
04.04.2016;7731.81
05.04.2016;7673.67
06.04.2016;7768.23
07.04.2016;7761.35
08.04.2016;7817.55
11.04.2016;7751.58
12.04.2016;7788.78
13.04.2016;7934.46
14.04.2016;8021
15.04.2016;8014.6
18.04.2016;8044.6
19.04.2016;8152.76
20.04.2016;8186.97
21.04.2016;8159.67
22.04.2016;8109.44
25.04.2016;8079.89
26.04.2016;8077.18
27.04.2016;8096.76
28.04.2016;8099.42
29.04.2016;7960.85
02.05.2016;7977.77
03.05.2016;7850.68
04.05.2016;7752.97
06.05.2016;7735.6
09.05.2016;7824.95
10.05.2016;7934.93
11.05.2016;7937.88
12.05.2016;7885.85
13.05.2016;7925.76
17.05.2016;7906.76
18.05.2016;7973.93
19.05.2016;7908.79
20.05.2016;7997.3
23.05.2016;8038.46
24.05.2016;8125.24
25.05.2016;8167.61
26.05.2016;8229.55
27.05.2016;8292.45
30.05.2016;8277.83
31.05.2016;8216.42
01.06.2016;8185.53
02.06.2016;8205.82
03.06.2016;8148.4
06.06.2016;8165.98
07.06.2016;8215.78
