Ticker;Field;Date;Value
CPURNSA Index;Last Price;30.09.2015;237.945
CPURNSA Index;Last Price;01.10.2015;237.945
CPURNSA Index;Last Price;02.10.2015;237.945
CPURNSA Index;Last Price;05.10.2015;237.945
CPURNSA Index;Last Price;06.10.2015;237.945
CPURNSA Index;Last Price;07.10.2015;237.945
CPURNSA Index;Last Price;08.10.2015;237.945
CPURNSA Index;Last Price;09.10.2015;237.945
CPURNSA Index;Last Price;12.10.2015;237.945
CPURNSA Index;Last Price;13.10.2015;237.945
CPURNSA Index;Last Price;14.10.2015;237.945
CPURNSA Index;Last Price;15.10.2015;237.945
CPURNSA Index;Last Price;16.10.2015;237.945
CPURNSA Index;Last Price;19.10.2015;237.945
CPURNSA Index;Last Price;20.10.2015;237.945
CPURNSA Index;Last Price;21.10.2015;237.945
CPURNSA Index;Last Price;22.10.2015;237.945
CPURNSA Index;Last Price;23.10.2015;237.945
CPURNSA Index;Last Price;26.10.2015;237.945
CPURNSA Index;Last Price;27.10.2015;237.945
CPURNSA Index;Last Price;28.10.2015;237.945
CPURNSA Index;Last Price;29.10.2015;237.945
CPURNSA Index;Last Price;30.10.2015;237.945
CPURNSA Index;Last Price;02.11.2015;237.838
CPURNSA Index;Last Price;03.11.2015;237.838
CPURNSA Index;Last Price;04.11.2015;237.838
CPURNSA Index;Last Price;05.11.2015;237.838
CPURNSA Index;Last Price;06.11.2015;237.838
CPURNSA Index;Last Price;09.11.2015;237.838
CPURNSA Index;Last Price;10.11.2015;237.838
CPURNSA Index;Last Price;11.11.2015;237.838
CPURNSA Index;Last Price;12.11.2015;237.838
CPURNSA Index;Last Price;13.11.2015;237.838
CPURNSA Index;Last Price;16.11.2015;237.838
CPURNSA Index;Last Price;17.11.2015;237.838
CPURNSA Index;Last Price;18.11.2015;237.838
CPURNSA Index;Last Price;19.11.2015;237.838
CPURNSA Index;Last Price;20.11.2015;237.838
CPURNSA Index;Last Price;23.11.2015;237.838
CPURNSA Index;Last Price;24.11.2015;237.838
CPURNSA Index;Last Price;25.11.2015;237.838
CPURNSA Index;Last Price;26.11.2015;237.838
CPURNSA Index;Last Price;27.11.2015;237.838
CPURNSA Index;Last Price;30.11.2015;237.336
CPURNSA Index;Last Price;01.12.2015;237.336
CPURNSA Index;Last Price;02.12.2015;237.336
CPURNSA Index;Last Price;03.12.2015;237.336
CPURNSA Index;Last Price;04.12.2015;237.336
CPURNSA Index;Last Price;07.12.2015;237.336
CPURNSA Index;Last Price;08.12.2015;237.336
CPURNSA Index;Last Price;09.12.2015;237.336
CPURNSA Index;Last Price;10.12.2015;237.336
CPURNSA Index;Last Price;11.12.2015;237.336
CPURNSA Index;Last Price;14.12.2015;237.336
CPURNSA Index;Last Price;15.12.2015;237.336
CPURNSA Index;Last Price;16.12.2015;237.336
CPURNSA Index;Last Price;17.12.2015;237.336
CPURNSA Index;Last Price;18.12.2015;237.336
CPURNSA Index;Last Price;21.12.2015;237.336
CPURNSA Index;Last Price;22.12.2015;237.336
CPURNSA Index;Last Price;23.12.2015;237.336
CPURNSA Index;Last Price;24.12.2015;237.336
CPURNSA Index;Last Price;25.12.2015;237.336
CPURNSA Index;Last Price;28.12.2015;237.336
CPURNSA Index;Last Price;29.12.2015;237.336
CPURNSA Index;Last Price;30.12.2015;237.336
CPURNSA Index;Last Price;31.12.2015;236.525
CPURNSA Index;Last Price;01.01.2016;236.525
CPURNSA Index;Last Price;04.01.2016;236.525
CPURNSA Index;Last Price;05.01.2016;236.525
CPURNSA Index;Last Price;06.01.2016;236.525
CPURNSA Index;Last Price;07.01.2016;236.525
CPURNSA Index;Last Price;08.01.2016;236.525
CPURNSA Index;Last Price;11.01.2016;236.525
CPURNSA Index;Last Price;12.01.2016;236.525
CPURNSA Index;Last Price;13.01.2016;236.525
CPURNSA Index;Last Price;14.01.2016;236.525
CPURNSA Index;Last Price;15.01.2016;236.525
CPURNSA Index;Last Price;18.01.2016;236.525
CPURNSA Index;Last Price;19.01.2016;236.525
CPURNSA Index;Last Price;20.01.2016;236.525
CPURNSA Index;Last Price;21.01.2016;236.525
CPURNSA Index;Last Price;22.01.2016;236.525
CPURNSA Index;Last Price;25.01.2016;236.525
CPURNSA Index;Last Price;26.01.2016;236.525
CPURNSA Index;Last Price;27.01.2016;236.525
CPURNSA Index;Last Price;28.01.2016;236.525
CPURNSA Index;Last Price;29.01.2016;236.525
CPURNSA Index;Last Price;01.02.2016;236.916
CPURNSA Index;Last Price;02.02.2016;236.916
CPURNSA Index;Last Price;03.02.2016;236.916
CPURNSA Index;Last Price;04.02.2016;236.916
CPURNSA Index;Last Price;05.02.2016;236.916
CPURNSA Index;Last Price;08.02.2016;236.916
CPURNSA Index;Last Price;09.02.2016;236.916
CPURNSA Index;Last Price;10.02.2016;236.916
CPURNSA Index;Last Price;11.02.2016;236.916
CPURNSA Index;Last Price;12.02.2016;236.916
CPURNSA Index;Last Price;15.02.2016;236.916
CPURNSA Index;Last Price;16.02.2016;236.916
CPURNSA Index;Last Price;17.02.2016;236.916
CPURNSA Index;Last Price;18.02.2016;236.916
CPURNSA Index;Last Price;19.02.2016;236.916
CPURNSA Index;Last Price;22.02.2016;236.916
CPURNSA Index;Last Price;23.02.2016;236.916
CPURNSA Index;Last Price;24.02.2016;236.916
CPURNSA Index;Last Price;25.02.2016;236.916
CPURNSA Index;Last Price;26.02.2016;236.916
CPURNSA Index;Last Price;29.02.2016;237.111
CPURNSA Index;Last Price;01.03.2016;237.111
CPURNSA Index;Last Price;02.03.2016;237.111
CPURNSA Index;Last Price;03.03.2016;237.111
CPURNSA Index;Last Price;04.03.2016;237.111
CPURNSA Index;Last Price;07.03.2016;237.111
CPURNSA Index;Last Price;08.03.2016;237.111
CPURNSA Index;Last Price;09.03.2016;237.111
CPURNSA Index;Last Price;10.03.2016;237.111
CPURNSA Index;Last Price;11.03.2016;237.111
CPURNSA Index;Last Price;14.03.2016;237.111
CPURNSA Index;Last Price;15.03.2016;237.111
CPURNSA Index;Last Price;16.03.2016;237.111
CPURNSA Index;Last Price;17.03.2016;237.111
CPURNSA Index;Last Price;18.03.2016;237.111
CPURNSA Index;Last Price;21.03.2016;237.111
CPURNSA Index;Last Price;22.03.2016;237.111
CPURNSA Index;Last Price;23.03.2016;237.111
CPURNSA Index;Last Price;24.03.2016;237.111
CPURNSA Index;Last Price;25.03.2016;237.111
CPURNSA Index;Last Price;28.03.2016;237.111
CPURNSA Index;Last Price;29.03.2016;237.111
CPURNSA Index;Last Price;30.03.2016;237.111
CPURNSA Index;Last Price;31.03.2016;238.132
CPURNSA Index;Last Price;01.04.2016;238.132
CPURNSA Index;Last Price;04.04.2016;238.132
CPURNSA Index;Last Price;05.04.2016;238.132
CPURNSA Index;Last Price;06.04.2016;238.132
CPURNSA Index;Last Price;07.04.2016;238.132
CPURNSA Index;Last Price;08.04.2016;238.132
CPURNSA Index;Last Price;11.04.2016;238.132
CPURNSA Index;Last Price;12.04.2016;238.132
CPURNSA Index;Last Price;13.04.2016;238.132
CPURNSA Index;Last Price;14.04.2016;238.132
CPURNSA Index;Last Price;15.04.2016;238.132
CPURNSA Index;Last Price;18.04.2016;238.132
CPURNSA Index;Last Price;19.04.2016;238.132
CPURNSA Index;Last Price;20.04.2016;238.132
CPURNSA Index;Last Price;21.04.2016;238.132
CPURNSA Index;Last Price;22.04.2016;238.132
CPURNSA Index;Last Price;25.04.2016;238.132
CPURNSA Index;Last Price;26.04.2016;238.132
CPURNSA Index;Last Price;27.04.2016;238.132
CPURNSA Index;Last Price;28.04.2016;238.132
CPURNSA Index;Last Price;29.04.2016;238.132
CPURNSA Index;Last Price;02.05.2016;239.261
CPURNSA Index;Last Price;03.05.2016;239.261
CPURNSA Index;Last Price;04.05.2016;239.261
CPURNSA Index;Last Price;05.05.2016;239.261
CPURNSA Index;Last Price;06.05.2016;239.261
CPURNSA Index;Last Price;09.05.2016;239.261
CPURNSA Index;Last Price;10.05.2016;239.261
