Date,ABBN_BEstEBITDA,ABBN_BEstEPS,ABBN_BEstPERatio,ABBN_BidPrice,ABBN_CurrentMarketCap,ABBN_Dividend12MonthYldGross,ABBN_HighPrice,ABBN_LastPrice,ABBN_LowPrice,ABBN_Volume,ALC_BEstEBITDA,ALC_BEstEPS,ALC_BEstPERatio,ALC_BidPrice,ALC_CurrentMarketCap,ALC_Dividend12MonthYldGross,ALC_HighPrice,ALC_LastPrice,ALC_LowPrice,ALC_Volume,AMRZ_BEstEBITDA,AMRZ_BEstEPS,AMRZ_BEstPERatio,AMRZ_BidPrice,AMRZ_CurrentMarketCap,AMRZ_HighPrice,AMRZ_LastPrice,AMRZ_LowPrice,AMRZ_Volume,CFR_BEstEBITDA,CFR_BEstEPS,CFR_BidPrice,CFR_CurrentMarketCap,CFR_Dividend12MonthYldGross,CFR_HighPrice,CFR_LastPrice,CFR_LowPrice,CFR_Volume,GEBN_BEstEBITDA,GEBN_BEstEPS,GEBN_BEstPERatio,GEBN_BidPrice,GEBN_CurrentMarketCap,GEBN_Dividend12MonthYldGross,GEBN_HighPrice,GEBN_LastPrice,GEBN_LowPrice,GEBN_Volume,GIVN_BEstEBITDA,GIVN_BidPrice,GIVN_CurrentMarketCap,GIVN_Dividend12MonthYldGross,GIVN_HighPrice,GIVN_LastPrice,GIVN_LowPrice,GIVN_Volume,HOLN_BEstEBITDA,HOLN_BidPrice,HOLN_CurrentMarketCap,HOLN_Dividend12MonthYldGross,HOLN_HighPrice,HOLN_LastPrice,HOLN_LowPrice,HOLN_Volume,KNIN_BEstEBITDA,KNIN_BEstEPS,KNIN_BEstPERatio,KNIN_BidPrice,KNIN_CurrentMarketCap,KNIN_Dividend12MonthYldGross,KNIN_HighPrice,KNIN_LastPrice,KNIN_LowPrice,KNIN_Volume,LOGN_BEstEBITDA,LOGN_BEstEPS,LOGN_BEstPERatio,LOGN_BidPrice,LOGN_CurrentMarketCap,LOGN_Dividend12MonthYldGross,LOGN_HighPrice,LOGN_LastPrice,LOGN_LowPrice,LOGN_Volume,LONN_BEstEBITDA,LONN_BEstEPS,LONN_BEstPERatio,LONN_BidPrice,LONN_CurrentMarketCap,LONN_Dividend12MonthYldGross,LONN_HighPrice,LONN_LastPrice,LONN_LowPrice,LONN_Volume,NESN_BidPrice,NESN_CurrentMarketCap,NESN_Dividend12MonthYldGross,NESN_HighPrice,NESN_LastPrice,NESN_LowPrice,NESN_Volume,NOVN_BEstEBITDA,NOVN_BEstEPS,NOVN_BEstPERatio,NOVN_BidPrice,NOVN_CurrentMarketCap,NOVN_Dividend12MonthYldGross,NOVN_HighPrice,NOVN_LastPrice,NOVN_LowPrice,NOVN_Volume,PGHN_BEstEBITDA,PGHN_BEstEPS,PGHN_BEstPERatio,PGHN_BidPrice,PGHN_CurrentMarketCap,PGHN_Dividend12MonthYldGross,PGHN_HighPrice,PGHN_LastPrice,PGHN_LowPrice,PGHN_Volume,ROG_BidPrice,ROG_CurrentMarketCap,ROG_Dividend12MonthYldGross,ROG_HighPrice,ROG_LastPrice,ROG_LowPrice,ROG_Volume,SCMN_BEstEBITDA,SCMN_BEstEPS,SCMN_BEstPERatio,SCMN_BidPrice,SCMN_CurrentMarketCap,SCMN_Dividend12MonthYldGross,SCMN_HighPrice,SCMN_LastPrice,SCMN_LowPrice,SCMN_Volume,SIKA_BEstEBITDA,SIKA_BidPrice,SIKA_CurrentMarketCap,SIKA_Dividend12MonthYldGross,SIKA_HighPrice,SIKA_LastPrice,SIKA_LowPrice,SIKA_Volume,SLHN_BidPrice,SLHN_CurrentMarketCap,SLHN_Dividend12MonthYldGross,SLHN_HighPrice,SLHN_LastPrice,SLHN_LowPrice,SLHN_Volume,SREN_BEstEPS,SREN_BEstPERatio,SREN_BidPrice,SREN_CurrentMarketCap,SREN_Dividend12MonthYldGross,SREN_HighPrice,SREN_LastPrice,SREN_LowPrice,SREN_Volume,UBSG_BEstEBITDA,UBSG_BEstEPS,UBSG_BEstPERatio,UBSG_BidPrice,UBSG_CurrentMarketCap,UBSG_Dividend12MonthYldGross,UBSG_HighPrice,UBSG_LastPrice,UBSG_LowPrice,UBSG_Volume,ZURN_BEstEPS,ZURN_BEstPERatio,ZURN_BidPrice,ZURN_CurrentMarketCap,ZURN_Dividend12MonthYldGross,ZURN_HighPrice,ZURN_LastPrice,ZURN_LowPrice,ZURN_Volume,CPURNSA,DXY,ECCPEMUY,EURCHF,EURR002W,FDTR,GDBR10,GSWISS10,GSWISS20,MOVE,SZCPIYOY,USDCHF,USGG10YR,VIX,VSMIXUSEquity,XAU,XBTUSD
2015-09-30,,,,16.6097,39859.8773,1.0235,16.7061,16.6097,16.465,7596858.0,,,,,,,,,,,,,,,,,,,,,,75.65,43466.94,2.1136,76.05,75.7,74.55,2861265.0,,,,297.6,11252.5919,2.788,300.3,297.7,293.6,190838.0,,1584.0,14635.2343,3.1546,1587.0,1585.0,1557.0,36197.0,,26.684,30950.3556,4.6353,27.076,26.71,26.632,2321926.0,,,,125.2,15024.0,5.5911,126.1,125.2,124.3,194092.0,,,,12.7,2198.454,4.0307,12.7,12.7,12.3,1460465.0,,,,118.38,6763.1938,1.9562,119.31,118.38,118.1,221195.0,73.25,233550.2928,3.0034,73.45,73.25,71.9,7700062.0,,,,75.007,239323.167,3.4663,75.595,75.007,73.917,5952876.0,,,,330.0,8817.6753,2.5738,330.25,330.25,322.25,76622.0,256.8,221638.6096,3.1128,258.3,257.0,254.4,1783233.0,,,,485.7,25186.1055,4.5249,490.2,486.2,484.0,184134.0,,50.13,7593.2176,2.3928,50.4,50.15,49.63,336420.0,217.3,6974.4213,2.9899,218.9,217.4,215.1,140595.0,,,83.6,30991.1002,8.6722,83.95,83.6,83.0,1480658.0,,,,18.0,69321.2287,4.1644,18.17,18.01,17.95,9504209.0,,,239.1,35975.8829,7.107,239.7,239.2,235.1,827874.0,237.945,96.35,0.2,1.08793,0.05,0.25,0.587,-0.122,0.487,81.565,-1.4,0.9733,2.0368,24.5,18.22,1115.09,236.99
2015-10-01,,,,16.5036,39628.403,1.0295,16.8315,16.5132,16.4553,6867904.0,,,,,,,,,,,,,,,,,,,,,,75.35,43294.68,2.122,76.95,75.4,74.9,2004805.0,,,,297.6,11248.812,2.789,301.8,297.6,296.7,155004.0,,1553.0,14348.9931,3.2175,1600.0,1554.0,1546.0,37817.0,,26.736,30980.6693,4.6307,27.338,26.736,26.71,2170211.0,,,,125.4,15060.0,5.5777,127.6,125.5,124.9,162732.0,,,,12.7,2198.454,4.0307,12.9,12.7,12.55,1172205.0,,,,119.68,6842.574,1.9335,121.34,119.77,119.03,246598.0,73.2,233550.2928,3.0034,74.15,73.25,73.2,6143445.0,,,,74.798,238653.9188,3.476,76.811,74.798,74.672,6265105.0,,,,338.0,9024.6003,2.5148,341.5,338.0,332.75,85469.0,257.2,221969.3784,3.1092,260.5,257.3,256.6,1483130.0,,,,480.7,24901.1948,4.5767,491.5,480.7,480.3,218066.0,,50.4,7627.6368,2.3802,51.12,50.42,50.33,429660.0,218.0,6996.878,2.9803,221.5,218.1,217.5,88377.0,,,83.5,30954.0295,8.6826,84.55,83.5,83.4,1425906.0,,,,18.22,70131.8315,4.1164,18.38,18.22,18.1,9277926.0,,,238.1,35810.442,7.1399,242.2,238.1,237.4,719754.0,237.945,96.185,0.2,1.09406,0.05,0.25,0.536,-0.154,0.453,81.5384,-1.4,0.9772,2.0368,22.55,18.1,1113.61,237.95
2015-10-02,,,,16.5036,39628.403,1.0295,16.7736,16.5132,16.3299,6169985.0,,,,,,,,,,,,,,,,,,,,,,74.65,42892.74,2.1419,76.65,74.7,73.9,1824322.0,,,,301.4,11392.4461,2.7538,304.5,301.4,298.2,185425.0,,1546.0,14284.358,3.2321,1565.0,1547.0,1521.0,46699.0,,27.024,31314.1208,4.5814,27.39,27.024,26.658,1702360.0,,,,126.1,15144.0,5.5468,127.2,126.2,125.2,186173.0,,,,12.55,2181.1433,4.0627,12.8,12.6,12.35,988692.0,,,,120.51,6890.2021,1.9201,121.9,120.6,118.29,310604.0,73.3,233869.1328,2.9993,74.2,73.35,72.7,6052671.0,,,,74.84,238787.7685,3.4741,75.804,74.84,73.749,4357562.0,,,,334.0,8924.4753,2.543,342.5,334.25,330.75,61413.0,255.9,221136.0469,3.125,260.7,256.0,252.4,1465818.0,,,,479.9,24864.9335,4.5833,486.4,480.0,474.4,264964.0,,50.6,7651.3,2.3715,51.15,50.6,50.03,384480.0,218.4,7012.9186,2.9735,222.0,218.6,215.5,128356.0,,,83.2,30842.8174,8.7139,84.75,83.2,82.55,1396032.0,,,,18.38,70747.6983,4.0805,18.72,18.38,18.09,8976183.0,,,239.7,36066.1454,7.0892,243.6,239.8,237.4,713240.0,237.945,95.83,0.2,1.09005,0.05,0.25,0.51,-0.203,0.406,78.8806,-1.4,0.9715,1.9929,20.94,18.41,1138.6,237.6
2015-10-05,,,,16.9955,40785.7746,1.0003,17.0726,16.9955,16.6772,8347406.0,,,,,,,,,,,,,,,,,,,,,,78.75,45246.96,2.0305,78.85,78.8,77.1,2321881.0,,,,309.6,11706.173,2.68,310.5,309.7,305.1,157078.0,,1596.0,14736.8038,3.1328,1599.0,1596.0,1561.0,27105.0,,28.071,32556.9852,4.4065,28.123,28.097,27.338,1575754.0,,,,127.6,15324.0,5.4816,128.6,127.7,127.5,136985.0,,,,12.8,2224.42,3.9837,12.85,12.85,12.7,637278.0,,,,123.01,7027.7945,1.8825,123.66,123.01,122.27,246335.0,74.65,238173.4727,2.9451,74.75,74.7,73.8,5954202.0,,,,76.937,245480.2508,3.3794,77.399,76.937,76.182,4334099.0,,,,341.0,9104.7003,2.4927,343.75,341.0,337.25,48399.0,260.4,225137.5789,3.071,261.6,260.5,258.3,1329399.0,,,,495.0,25641.9626,4.4444,496.6,495.0,485.8,158591.0,,51.43,7761.0111,2.3324,51.47,51.45,50.83,350280.0,223.9,7186.1563,2.9018,224.9,224.0,221.1,123243.0,,,85.35,31658.3727,8.4895,85.6,85.4,84.3,1250029.0,,,,19.02,73249.6572,3.9411,19.07,19.03,18.54,8865957.0,,,247.0,37164.0723,6.8798,247.1,247.1,242.7,691656.0,237.945,96.106,0.2,1.09129,0.05,0.25,0.566,-0.193,0.424,77.4709,-1.4,0.9756,2.0562,19.54,19.03,1135.75,239.61
2015-10-06,,,,17.1016,41086.6912,0.9929,17.227,17.1209,16.8701,7792312.0,,,,,,,,,,,,,,,,,,,,,,80.85,46452.78,1.9778,81.0,80.9,78.95,2371405.0,,,,312.5,11815.7885,2.6552,314.4,312.6,309.8,134397.0,,1608.0,14856.8404,3.1075,1617.0,1609.0,1586.0,26591.0,,28.437,32951.0642,4.3538,28.463,28.437,27.809,1476228.0,,,,127.6,15324.0,5.4816,128.6,127.7,126.8,246794.0,,,,13.05,2259.0413,3.9226,13.1,13.05,12.8,622264.0,,,,125.7,7181.2629,1.8423,127.83,125.7,123.1,363484.0,74.8,238492.3127,2.9412,74.9,74.8,74.4,4595371.0,,,,76.308,243472.5061,3.4072,77.273,76.308,76.266,4257250.0,,,,345.25,9224.8503,2.4602,348.0,345.5,340.75,47739.0,259.8,224636.0413,3.0781,261.7,259.9,258.8,1063519.0,,,,499.1,25859.5308,4.4071,502.5,499.2,493.0,134608.0,,52.3,7870.7223,2.2945,52.42,52.3,51.23,330420.0,227.0,7282.3994,2.8634,229.4,227.0,222.4,156892.0,,,85.9,31843.7261,8.44,86.35,85.9,84.9,1329558.0,,,,19.2,73942.5073,3.9042,19.27,19.21,18.86,7167378.0,,,249.5,37540.0746,6.8109,250.1,249.6,245.8,822976.0,237.945,95.455,0.2,1.08985,0.05,0.25,0.596,-0.173,0.44,80.2546,-1.4,0.9668,2.0315,19.4,19.02,1147.24,246.2
2015-10-07,,,,17.1691,41202.4283,0.9902,17.4295,17.1691,17.0726,6602667.0,,,,,,,,,,,,,,,,,,,,,,81.65,46912.14,1.9584,83.2,81.7,80.85,2373871.0,,,,314.2,11880.0458,2.6408,316.8,314.3,311.5,162065.0,,1607.0,14838.3732,3.1114,1616.0,1607.0,1600.0,30667.0,,29.012,33648.2808,4.2636,29.483,29.039,28.332,2553937.0,,,,126.5,15180.0,5.5336,128.2,126.5,126.5,235551.0,,,,12.85,2224.42,3.9837,13.15,12.85,12.85,560772.0,,,,120.33,6874.3261,1.9246,126.62,120.33,120.14,398049.0,73.85,235622.7528,2.977,74.9,73.9,73.7,6820581.0,,,,74.42,237583.1216,3.4917,76.308,74.462,74.085,7166355.0,,,,336.75,8991.2253,2.5241,347.0,336.75,335.25,71914.0,250.5,216511.9521,3.1936,261.5,250.5,250.0,2728376.0,,,,486.5,25201.6461,4.5221,498.0,486.5,486.5,229010.0,,52.4,7885.7807,2.2893,53.1,52.42,51.95,290280.0,227.3,7292.0237,2.8597,230.3,227.3,227.2,123299.0,,,85.9,31843.7261,8.44,86.85,85.9,85.9,1479810.0,,,,19.28,74250.4407,3.888,19.62,19.29,19.26,9268319.0,,,250.0,37600.235,6.8,253.5,250.0,248.5,979470.0,237.945,95.497,0.2,1.094,0.05,0.25,0.593,-0.173,0.452,79.9819,-1.4,0.9736,2.0668,18.4,19.09,1145.54,245.09
2015-10-08,,,,17.3331,41619.0821,0.9802,17.3909,17.3427,17.1112,5824977.0,,,,,,,,,,,,,,,,,,,,,,82.45,47371.5,1.9394,82.7,82.5,80.8,1742101.0,,,,316.4,11963.2023,2.6224,317.5,316.5,313.9,124553.0,,1623.0,14986.1106,3.0807,1633.0,1623.0,1609.0,28753.0,,28.908,33496.712,4.2829,29.248,28.908,28.594,1757466.0,,,,126.5,15192.0,5.5292,127.4,126.6,126.1,226305.0,,,,13.1,2267.6966,3.9076,13.15,13.1,13.0,535552.0,,,,122.83,7022.5025,1.8839,124.22,122.92,120.42,268988.0,74.25,236898.1127,2.961,74.5,74.3,73.8,4519421.0,,,,74.504,237850.8209,3.4878,75.804,74.546,74.252,4708088.0,,,,334.25,8931.1503,2.5411,338.5,334.5,333.25,30318.0,253.9,219340.6652,3.1508,255.0,253.9,251.0,1411411.0,,,,491.0,25434.7549,4.4807,493.3,491.0,484.1,157442.0,,53.2,7986.887,2.2556,53.3,53.2,52.3,334200.0,228.6,7336.9372,2.8422,229.1,228.7,226.5,91562.0,,,86.6,32103.221,8.3718,86.75,86.6,85.7,974889.0,,,,19.1,73519.0989,3.9267,19.54,19.1,19.04,8511899.0,,,257.4,38713.2019,6.6045,258.4,257.4,250.2,957075.0,237.945,95.318,0.2,1.08956,0.05,0.25,0.586,-0.181,0.449,79.5139,-1.4,0.9661,2.104,17.42,19.31,1139.01,243.84
2015-10-09,,,,17.5935,42244.0627,0.9657,17.7768,17.6031,17.497,6315987.0,,,,,,,,,,,,,,,,,,,,,,83.9,48175.38,1.907,84.95,83.9,82.85,2032034.0,,,,319.1,12065.2581,2.6003,321.1,319.2,318.0,125970.0,,1695.0,15650.9288,2.9499,1712.0,1695.0,1675.0,54089.0,,29.509,34193.9286,4.1956,29.771,29.509,29.065,1618464.0,,,,132.6,15912.0,5.279,133.0,132.6,127.1,279991.0,,,,13.35,2310.9733,3.8345,13.65,13.35,13.15,1859875.0,,,,122.64,7006.6264,1.8882,124.49,122.64,121.53,241974.0,74.3,236898.1127,2.961,74.6,74.3,74.0,4371660.0,,,,74.126,236646.1741,3.5055,75.217,74.168,73.875,4763182.0,,,,327.5,8757.6003,2.5915,337.0,328.0,327.0,61271.0,252.4,218126.8212,3.1696,257.0,252.4,252.1,1938998.0,,,,493.4,25569.4399,4.4571,495.8,493.6,491.8,120486.0,,52.55,7902.9903,2.2835,54.03,52.55,52.55,429420.0,229.8,7375.4345,2.8273,232.0,229.9,229.1,105295.0,,,86.3,32010.5442,8.3961,87.05,86.35,86.15,1034031.0,,,,19.03,73249.6572,3.9411,19.32,19.03,19.0,7619900.0,,,258.7,38908.7232,6.5713,261.1,258.7,258.2,541019.0,237.945,94.813,0.2,1.09216,0.05,0.25,0.615,-0.169,0.462,78.2372,-1.4,0.9616,2.0881,17.08,19.37,1156.53,244.5
2015-10-12,,,,17.4102,41804.2615,0.9759,17.7478,17.4199,17.3524,5423170.0,,,,,,,,,,,,,,,,,,,,,,83.65,48060.54,1.9116,84.65,83.7,82.85,1415184.0,,,,317.5,12004.7806,2.6134,320.4,317.6,315.8,90414.0,,1695.0,15650.9288,2.9499,1705.0,1695.0,1688.0,26516.0,,28.541,33102.633,4.3339,29.588,28.568,28.332,1918793.0,,,,132.8,15936.0,5.2711,134.0,132.8,131.8,253866.0,,,,13.25,2293.6626,3.8634,13.5,13.25,13.2,1045933.0,,,,122.55,7006.6264,1.8882,123.2,122.64,121.25,209564.0,74.85,238651.7327,2.9392,75.0,74.85,74.05,3355880.0,,,,74.504,237850.8209,3.4878,74.588,74.546,73.413,3802633.0,,,,329.5,8804.3253,2.5777,332.0,329.75,327.0,44076.0,254.3,219962.2029,3.1434,255.1,254.5,251.7,1029352.0,,,,492.6,25517.638,4.4661,495.2,492.6,490.0,77999.0,,51.93,7827.6983,2.3092,53.0,51.97,51.65,317880.0,230.8,7407.5155,2.8151,231.5,230.9,229.0,88144.0,,,86.55,32084.6856,8.3767,86.55,86.55,85.65,689319.0,,,,19.03,73249.6572,3.9411,19.24,19.03,18.87,5957147.0,,,258.2,38848.5628,6.5815,259.8,258.3,256.4,469474.0,237.945,94.841,0.2,1.09362,0.05,0.25,0.578,-0.177,0.454,78.2372,-1.4,0.9629,2.0881,16.17,19.28,1163.85,245.99
2015-10-13,,,,17.1691,41202.4283,0.9902,17.362,17.1691,17.0534,5719145.0,,,,,,,,,,,,,,,,,,,,,,82.35,47314.08,1.9417,83.25,82.4,81.8,1666584.0,,,,313.8,11864.9264,2.6442,317.7,313.9,311.9,129486.0,,1694.0,15641.6952,2.9516,1706.0,1694.0,1686.0,33510.0,,28.097,32587.299,4.4024,28.489,28.123,27.495,2089701.0,,,,134.6,16164.0,5.1967,139.4,134.7,134.2,385329.0,,,,13.4,2319.6286,3.8201,13.5,13.4,13.05,1400524.0,,,,123.01,7027.7945,1.8825,123.47,123.01,121.34,248553.0,75.0,239129.9927,2.9333,75.25,75.0,74.55,5709737.0,,,,74.043,236244.6252,3.5115,74.714,74.043,73.581,4007184.0,,,,323.5,8637.4502,2.6275,329.5,323.5,323.5,41587.0,255.7,221005.2781,3.1287,257.3,255.7,252.3,1446521.0,,,,487.7,25263.8084,4.511,493.4,487.7,486.6,101629.0,,51.4,7754.5575,2.3346,51.97,51.4,51.03,288300.0,226.2,7263.1508,2.871,229.9,226.4,224.7,98389.0,,,85.7,31788.1201,8.4548,86.8,85.75,85.15,1049292.0,,,,18.83,72479.8237,3.983,18.99,18.83,18.37,10351049.0,,,251.9,37901.0369,6.746,258.5,252.0,251.0,874486.0,237.945,94.759,0.2,1.09,0.05,0.25,0.587,-0.175,0.454,76.3344,-1.4,0.9578,2.0439,17.67,19.07,1168.84,249.46
